DEPTH,BS,CALI,CHKS,VP,VS,GR,GRN,NPHI,PHIE,PHIT,RD,RHOB,RM,RS,SWE,VSH
9902.0,8.5,7.7592,2131.4614,3892.427,2333.2061,92.8214,100.8214,0.1331,0.0754,0.1048,6.8416,2.4978,6.3213,5.9439,1.0,32.58
9902.5,8.5,7.927,2131.5518,4005.4407,2356.1331,103.7786,111.7786,0.1571,0.015,0.0662,6.4902,2.574,6.0889,5.5737,1.0,56.92
9903.0,8.5,8.0846,2131.6421,4012.9446,2285.1746,124.6233,132.6233,0.1797,0.0,0.0582,4.4907,2.5965,4.2966,3.8894,1.0,82.29
9903.5,8.5,8.1363,2131.7324,3878.7017,2182.8071,141.4346,149.4346,0.1835,0.0,0.0756,3.2429,2.5695,3.1959,3.0047,1.0,89.77
9904.0,8.5,8.1154,2131.8228,3669.4421,2003.4153,140.1278,148.1278,0.1649,0.0142,0.0843,3.0029,2.5509,3.0345,2.9803,1.0,77.91
9904.5,8.5,8.1293,2131.9131,3546.4377,1904.1598,129.1179,137.1179,0.1303,0.0202,0.0728,3.2285,2.5492,3.2784,3.2882,1.0,58.49
9905.0,8.5,8.1371,2132.0034,3583.8291,1924.0505,122.8595,130.8595,0.1423,0.024,0.0771,3.629,2.5502,3.6163,3.6063,1.0,59.01
9905.5,8.5,8.1312,2132.094,3686.605,1999.9711,120.7522,128.7522,0.1675,0.0208,0.0809,3.8227,2.5529,3.7465,3.6713,1.0,66.73
9906.0,8.5,8.1147,2132.1843,3840.8467,2093.1968,122.149,130.149,0.1614,0.021,0.0801,3.835,2.5539,3.7585,3.6463,1.0,65.69
9906.5,8.5,8.1039,2132.2747,3924.2341,2171.8049,127.9393,135.9393,0.1585,0.0182,0.0799,3.7403,2.5552,3.7139,3.584,1.0,68.54
9907.0,8.5,8.1008,2132.3652,3912.5278,2161.8877,130.7513,138.7513,0.1563,0.0034,0.0694,3.5596,2.5746,3.5882,3.4751,1.0,73.29
9907.5,8.5,8.1267,2132.4556,3866.8918,2096.6682,130.1994,138.1994,0.1496,0.0,0.0434,3.3801,2.6208,3.4098,3.3245,1.0,79.74
9908.0,8.5,8.1286,2132.5459,3784.2202,2055.8562,128.084,136.084,0.1494,0.0,0.0366,3.3435,2.6327,3.358,3.3334,1.0,80.66
9908.5,8.5,8.0582,2132.6362,3746.3958,2027.3022,124.1292,132.1292,0.157,0.0,0.0638,3.5002,2.5832,3.5308,3.5122,1.0,70.98
9909.0,8.5,8.0364,2132.7268,3763.5671,2038.2562,119.9044,127.9044,0.1509,0.0322,0.0846,3.6537,2.54,3.6943,3.6054,1.0,58.3
9909.5,8.5,8.0232,2132.8171,3827.7798,2092.4309,123.102,131.102,0.147,0.0359,0.0873,3.6723,2.5302,3.6749,3.5795,1.0,57.15
9910.0,8.5,8.0506,2132.9075,3844.3298,2133.269,131.036,139.036,0.1447,0.0263,0.0822,3.4835,2.5363,3.459,3.4212,1.0,62.17
9910.5,8.5,8.0669,2132.9978,3809.8286,2103.408,130.742,138.742,0.1576,0.0285,0.0876,3.1965,2.5323,3.1964,3.1741,1.0,65.64
9911.0,8.5,8.1146,2133.0884,3721.0664,2059.8157,128.011,136.011,0.1527,0.0406,0.0941,3.3796,2.5163,3.3917,3.3319,1.0,59.42
9911.5,8.5,8.1489,2133.1787,3664.7124,2058.0535,132.9323,140.9323,0.1348,0.0359,0.087,3.3085,2.5187,3.2843,3.1944,1.0,56.84
9912.0,8.5,8.1592,2133.269,3626.3652,2022.8352,139.1326,147.1326,0.1163,0.0248,0.0754,2.9683,2.53,2.9262,2.8122,1.0,56.24
9912.5,8.5,8.2031,2133.3594,3599.8835,1991.4254,135.4989,143.4989,0.1145,0.0278,0.0759,2.9147,2.5295,2.9051,2.8326,1.0,53.5
9913.0,8.5,8.2212,2133.45,3591.5911,1978.0211,126.2305,134.2305,0.1174,0.0327,0.0776,3.1755,2.5322,3.1849,3.1159,1.0,49.79
9913.5,8.5,8.242,2133.5403,3637.0273,2010.3644,120.7297,128.7297,0.1227,0.0294,0.0748,3.2173,2.5442,3.2207,3.1232,1.0,50.43
9914.0,8.5,8.2482,2133.6306,3738.4414,2062.5391,123.004,131.004,0.1295,0.0188,0.0695,3.2126,2.559,3.203,3.1091,1.0,56.4
9914.5,8.5,8.2624,2133.7209,3792.3467,2087.7598,128.6769,136.6769,0.133,0.001,0.0594,3.2398,2.5809,3.2533,3.182,1.0,64.91
9915.0,8.5,8.285,2133.8115,3820.2383,2104.2764,130.1734,138.1734,0.1382,0.0,0.0522,3.3258,2.6033,3.3637,3.3241,1.0,71.98
9915.5,8.5,8.2899,2133.9019,3838.3799,2089.7009,130.4668,138.4668,0.1446,0.0,0.0511,3.4104,2.6062,3.4422,3.3983,1.0,75.07
9916.0,8.5,8.3345,2133.9922,3856.5437,2081.4326,131.896,139.896,0.1506,0.0,0.0609,3.4291,2.5895,3.4122,3.3468,1.0,74.92
9916.5,8.5,8.3374,2134.085,3835.8394,2071.8372,135.8342,143.8342,0.1601,0.0,0.0676,3.3643,2.5796,3.3216,3.2542,1.0,79.06
